id,type,customer_type,x,y,demand,tw_start,tw_end
S,depot_start,0,40.0,50.0,0.0,0.0,1236.0
T,depot_end,0,40.0,50.0,0.0,0.0,1236.0
TN1,tn,0,35.3,58.92,0.0,0.0,1236.0
A1,adp,0,22.875,69.375,0.0,0.0,1236.0
A2,adp,0,38.75,66.125,0.0,0.0,1236.0
C1,customer,1,45.0,68.0,1.0,0.0,1236.0
C2,customer,2,45.0,70.0,1.0,0.0,1236.0
C3,customer,3,42.0,66.0,1.0,0.0,1236.0
C4,customer,1,42.0,68.0,1.0,0.0,1236.0
C5,customer,2,42.0,65.0,1.0,0.0,1236.0
C6,customer,3,40.0,69.0,1.0,0.0,1236.0
C7,customer,1,40.0,66.0,1.0,0.0,1236.0
C8,customer,2,38.0,68.0,1.0,0.0,1236.0
C9,customer,3,38.0,70.0,1.0,0.0,1236.0
C10,customer,1,35.0,66.0,1.0,0.0,1236.0
C11,customer,2,35.0,69.0,1.0,0.0,1236.0
C12,customer,3,25.0,85.0,1.0,0.0,1236.0
C13,customer,1,22.0,75.0,1.0,0.0,1236.0
C14,customer,2,22.0,85.0,1.0,0.0,1236.0
C15,customer,3,20.0,80.0,1.0,0.0,1236.0
C16,customer,1,20.0,85.0,1.0,0.0,1236.0
C17,customer,2,18.0,75.0,1.0,0.0,1236.0
C18,customer,3,15.0,75.0,1.0,0.0,1236.0
C19,customer,1,15.0,80.0,1.0,0.0,1236.0
C20,customer,2,30.0,50.0,1.0,0.0,1236.0
C21,customer,3,30.0,52.0,1.0,0.0,1236.0
C22,customer,1,28.0,52.0,1.0,0.0,1236.0
C23,customer,2,28.0,55.0,1.0,0.0,1236.0
C24,customer,3,25.0,50.0,1.0,0.0,1236.0
C25,customer,1,25.0,52.0,1.0,0.0,1236.0
O1,od_origin,0,43.0,50.0,0.0,0.0,1236.0
D1,od_destination,0,32.72132034355965,69.96132034355965,0.0,0.0,1236.0
O2,od_origin,0,37.0,50.0,0.0,0.0,1236.0
D2,od_destination,0,28.47867965644036,65.71867965644036,0.0,0.0,1236.0
