id,type,customer_type,x,y,demand,tw_start,tw_end
S,depot_start,0,35.0,35.0,0.0,0.0,230.0
T,depot_end,0,35.0,35.0,0.0,0.0,230.0
TN1,tn,0,34.620000000000005,34.480000000000004,0.0,0.0,230.0
A1,adp,0,17.5,31.625,0.0,0.0,230.0
A2,adp,0,50.625,35.25,0.0,0.0,230.0
C1,customer,1,41.0,49.0,1.0,0.0,230.0
C2,customer,2,35.0,17.0,1.0,0.0,230.0
C3,customer,3,55.0,45.0,1.0,0.0,230.0
C4,customer,1,55.0,20.0,1.0,0.0,230.0
C5,customer,2,15.0,30.0,1.0,0.0,230.0
C6,customer,3,25.0,30.0,1.0,0.0,230.0
C7,customer,1,20.0,50.0,1.0,0.0,230.0
C8,customer,2,10.0,43.0,1.0,0.0,230.0
C9,customer,3,55.0,60.0,1.0,0.0,230.0
C10,customer,1,30.0,60.0,1.0,0.0,230.0
C11,customer,2,20.0,65.0,1.0,0.0,230.0
C12,customer,3,50.0,35.0,1.0,0.0,230.0
C13,customer,1,30.0,25.0,1.0,0.0,230.0
C14,customer,2,15.0,10.0,1.0,0.0,230.0
C15,customer,3,30.0,5.0,1.0,0.0,230.0
C16,customer,1,10.0,20.0,1.0,0.0,230.0
C17,customer,2,5.0,30.0,1.0,0.0,230.0
C18,customer,3,20.0,40.0,1.0,0.0,230.0
C19,customer,1,15.0,60.0,1.0,0.0,230.0
C20,customer,2,45.0,65.0,1.0,0.0,230.0
C21,customer,3,45.0,20.0,1.0,0.0,230.0
C22,customer,1,45.0,10.0,1.0,0.0,230.0
C23,customer,2,55.0,5.0,1.0,0.0,230.0
C24,customer,3,65.0,35.0,1.0,0.0,230.0
C25,customer,1,65.0,20.0,1.0,0.0,230.0
O1,od_origin,0,38.0,35.0,0.0,0.0,230.0
D1,od_destination,0,36.36132034355965,36.081320343559646,0.0,0.0,230.0
O2,od_origin,0,32.0,35.0,0.0,0.0,230.0
D2,od_destination,0,32.11867965644036,31.83867965644036,0.0,0.0,230.0
